Interval start,Packets,Attack
1,115,-
2,150,-
3,118,-
4,229,-
5,219,-
6,118,-
7,147,-
8,114,-
9,133,-
10,116,-
11,127,1
12,122,1
13,133,1
14,116,1
15,128,1
16,122,1
17,124,1
18,114,1
19,124,1
20,122,1
21,120,1
22,112,1
23,110,1
24,118,1
25,114,1
26,176,1
27,182,1
28,148,1
29,500,1
30,672,1
31,632,1
32,634,1
33,652,1
34,674,1
35,668,1
36,680,1
37,666,1
38,674,1
39,648,1
40,654,1
41,672,1
42,664,1
43,640,1
44,650,1
45,664,1
46,668,1
47,656,1
48,642,1
49,660,1
50,671,1
51,660,1
52,682,1
53,520,1
54,204,1
55,118,1
56,135,1
57,130,1
58,158,1
59,122,1
60,149,1
61,116,1
62,121,1
63,122,1
64,148,1
65,116,1
66,452,0
67,870,0
68,914,0
69,967,0
70,906,0
71,876,0
72,866,0
73,862,0
74,896,0
75,856,0
76,864,0
77,862,0
78,875,0
79,856,0
80,863,0
81,854,0
82,736,0
83,122,1
84,122,1
85,124,1
86,122,1
87,126,1
88,122,1
89,116,1
90,127,1
91,122,1
92,119,1
93,131,1
94,122,1
95,118,1
96,124,1
97,124,1
98,122,1
99,114,1
100,120,1
101,124,1
102,120,1
103,118,1
104,120,1
105,122,1
106,122,1
107,118,1
108,120,1
109,120,1
110,128,1
111,114,1
112,118,1
113,590,0
114,1978,0
115,1888,0
116,1772,0
117,1660,0
118,1549,0
119,1515,0
120,1612,0
121,1533,0
122,1503,0
123,1548,0
124,1494,0
125,1519,0
126,1523,0
127,1461,0
128,1531,0
129,1556,0
130,1505,0
131,1487,0
132,1516,0
133,1502,0
134,1546,0
135,1482,0
136,1518,0
137,1520,0
138,1534,0
139,1504,0
140,1502,0
141,1510,0
142,1548,0
143,1536,0
144,1196,0
145,138,1
146,122,1
147,124,1
148,124,1
149,120,1
150,120,1
